-1	0.28	1	0	0.5592	0	1	0
1	0.30	-1	-1	0.2587	0	1	0
-1	0.34	-1	-1	0.1488	0	0	1
-1	0.16	0	1	0.4812	1	0	0
1	0.60	0	1	0.7601	0	1	0
1	0.42	0	1	0.1676	0	1	0
-1	0.34	-1	-1	0.2298	0	1	0
1	0.22	-1	-1	0.1315	0	0	1
1	0.24	-1	-1	0.4740	1	0	0
-1	0.46	0	1	0.0000	0	1	0
-1	0.28	1	0	0.6734	0	1	0
1	0.36	1	0	0.3945	0	1	0
-1	0.38	-1	-1	0.0159	0	1	0
1	0.86	0	1	0.0116	1	0	0
1	0.96	1	0	0.1561	0	1	0
1	0.30	1	0	0.6286	0	0	1
1	0.58	0	1	0.8801	0	1	0
-1	0.80	0	1	0.3873	0	0	1
1	1.00	1	0	0.4046	1	0	0
-1	0.40	-1	-1	0.6488	0	1	0
1	0.02	-1	-1	0.8035	0	0	1
-1	0.10	1	0	0.9249	1	0	0
-1	0.26	1	0	0.4653	0	1	0
-1	0.22	-1	-1	0.0737	0	0	1
-1	0.44	1	0	0.2182	0	0	1
-1	0.22	0	1	0.8338	1	0	0
1	0.66	0	1	0.4436	0	1	0
-1	0.68	1	0	0.4220	0	1	0
1	0.50	0	1	0.4957	0	1	0
-1	0.50	-1	-1	0.8714	0	1	0
1	0.60	0	1	0.9711	0	0	1
-1	0.86	-1	-1	0.9740	0	1	0
1	0.34	-1	-1	0.9494	0	1	0
1	0.36	0	1	0.9624	0	1	0
1	0.54	0	1	0.9118	0	1	0
-1	0.72	1	0	0.1503	0	0	1
-1	0.56	0	1	0.9118	0	1	0
-1	0.08	-1	-1	0.3757	1	0	0
-1	0.38	1	0	0.8497	0	1	0
-1	0.76	0	1	0.6012	0	0	1
1	0.84	0	1	0.9061	0	1	0
-1	0.10	0	1	0.9697	1	0	0
-1	0.20	1	0	0.5578	1	0	0
1	0.68	0	1	0.9769	1	0	0
1	0.52	-1	-1	0.8902	0	1	0
1	0.48	1	0	0.8671	0	1	0
1	0.92	0	1	0.4942	1	0	0
1	0.66	0	1	0.1329	0	1	0
1	0.82	0	1	0.7760	1	0	0
1	0.44	0	1	0.5665	0	1	0
1	0.70	-1	-1	0.9610	0	0	1
1	0.22	1	0	0.1662	0	0	1
-1	0.48	0	1	0.2746	0	0	1
-1	0.04	1	0	0.3728	1	0	0
-1	0.10	-1	-1	0.6575	1	0	0
-1	0.50	1	0	0.7312	0	1	0
1	0.30	0	1	0.1517	0	1	0
-1	0.82	-1	-1	0.8223	0	0	1
1	0.66	1	0	0.6980	0	1	0
1	0.06	-1	-1	0.7803	0	0	1
-1	0.90	-1	-1	0.6893	0	0	1
-1	0.10	0	1	0.5665	1	0	0
-1	0.26	-1	-1	0.4249	0	0	1
1	0.82	1	0	0.9379	1	0	0
-1	0.76	1	0	0.8237	0	0	1
-1	0.12	0	1	0.1431	0	1	0
1	0.62	0	1	0.7962	0	1	0
1	0.62	1	0	0.5650	0	1	0
1	0.28	1	0	0.7832	0	1	0
-1	0.44	0	1	0.4509	0	1	0
1	0.62	1	0	0.0101	0	1	0
-1	0.16	1	0	0.1040	1	0	0
-1	0.28	0	1	0.9624	0	1	0
-1	0.00	1	0	0.6127	1	0	0
-1	0.34	0	1	0.1980	0	1	0
-1	0.78	1	0	0.2514	0	0	1
-1	0.34	1	0	0.5390	0	1	0
1	0.32	1	0	0.4408	0	1	0
-1	0.16	0	1	0.5231	1	0	0
-1	0.46	-1	-1	0.9624	1	0	0
-1	0.38	1	0	0.5043	0	1	0
1	0.16	0	1	0.1358	0	1	0
-1	0.28	0	1	0.8902	0	0	1
-1	0.88	1	0	0.3367	0	1	0
1	0.58	-1	-1	0.1864	0	1	0
